variant_key,variant,category,components,precision_at_k,recall_at_k,mrr,ndcg_at_k,map,latency_ms,top_k,queries
semantic_only,Semantic only,single,semantic,0.26666666666666666,0.8666666666666667,0.9314814814814815,0.8781765441996437,0.8098821548821549,0.418,5,30
skills_only,Skills only,single,skills,0.23333333333333334,0.7333333333333333,0.8157531357531358,0.7481217031530997,0.6808966033966034,0.17,5,30
experience_only,Experience only,single,experience,0.16,0.4666666666666667,0.3837999037999038,0.3255899209101124,0.3135906685906686,0.026,5,30
compensation_only,Compensation only,single,compensation,0.18666666666666668,0.5666666666666667,0.45726107226107227,0.3929383746098049,0.3871796721796722,0.028,5,30
location_only,Location only,single,location,0.16666666666666669,0.4666666666666667,0.3878439153439153,0.33542663755060487,0.3275805675805676,0.026,5,30
semantic_skills,Semantic + skills,partial,semantic+skills,0.2866666666666667,0.9333333333333333,0.9611111111111111,0.9169542356493255,0.867037037037037,0.421,5,30
semantic_skills_experience,Semantic + skills + experience,partial,semantic+skills+experience,0.2866666666666667,0.9333333333333333,0.9611111111111111,0.9163178197574233,0.8647222222222222,0.424,5,30
full_composite,Full composite,full,semantic+skills+experience+compensation+location,0.29333333333333333,0.9333333333333333,0.9722222222222222,0.949235633450573,0.9206878306878307,0.568,5,30
rrf_ensemble,RRF ensemble,ensemble,"RRF(semantic,skills,experience,compensation,location)",0.23333333333333334,0.7166666666666667,0.5703418803418804,0.5643238416544605,0.49727106227106227,0.485,5,30
